,signal,value
105,radical politics,1
139,new habits of living,1
142,dissent,1
145,attitudes toward education,1
146,inflation,1
147,economic imbalance,1
148,new types of businesses,1
149,discrimination,1
150,fintech,1
151,advance in gene research,1
152,smartphones,1
153,supercars,1
155,tightening income gap,1
156,free speech,1
157,changing economic structures,1
158,gig economy,1
161,changing views of self identity,1
162,Medtech,1
138,evolving societal attitudes,1
137,increased mutual aid,1
132,reduced waste,1
131,green buildings,1
91,extended reality,1
92,predictive healthcare,1
98,hyperloops,1
99,human augmentation,1
101,new ways of investment,1
103,widening social gap between young and old,1
210,decreased farming,1
106,biotech,1
163,alternative lifestyles,1
108,fragmented society,1
111,fusion technology,1
113,dependence on technology,1
116,increased self-awareness,1
119,QAnon,1
122,synthetic biology,1
123,culture wars,1
124,new ways of measuring progress,1
130,frugal living,1
109,racism,1
164,transnational alliances,1
165,increased democracy,1
167,changing demographics,1
191,increased equity,1
192,inclusivity,1
193,3d printing,1
194,robots,1
195,sustainable food,1
196,deforestation,1
197,dissociation of identity,1
198,non-nuclear family structures,1
190,increased equality,1
199,drive for profits,1
201,stagnating population growth,1
202,stagnating innovation,1
203,multiculturalism,1
204,global community,1
205,increased surveillance,1
207,mass displacement,1
208,world hunger,1
209,technology ethics,1
200,siren servers,1
90,joblessness,1
189,data mining,1
187,virus outbreaks,1
168,rapid change,1
169,microplastics in human blood,1
170,predictive analytics,1
171,melting polar ice caps,1
172,CO2 emissions,1
173,increased financilisation,1
174,volatile markets,1
175,increased division,1
188,poverty,1
176,increased propaganda,1
178,decreased food sources,1
180,new sources of resources,1
181,increased social justice,1
182,populist leaders,1
183,smart homes,1
184,sea water contamination,1
185,selfishness,1
186,increased social distrust,1
177,increased waste,1
88,plant-based diet,1
211,decreased innovation,1
55,more education,1
25,ageist behaviours,1
68,decentralised workforce,1
59,food technology,1
58,mixed reality,1
11,concentration of talent,1
54,nanotech,1
53,new social norms,1
51,increased apathy,1
73,rise in taxes,1
74,rise in human capital,1
64,climate refugees,1
15,new forms of currency,1
77,discerning more worldviews,1
44,separatism,1
78,aware youths,1
75,rise in talent,1
79,unequal effects of climate change,1
84,online communities,1
33,increased authoritarianism,1
34,decreased democracy,1
43,increased protectionism,1
18,world without borders,1
65,drones,1
40,colonisation,1
38,compressed modernity,1
133,new forms of manufacturing,2
26,elitism,2
63,generational differences,2
141,increased citizen engagement,2
29,overpopulation,2
143,DAOs,2
144,liberalisation,2
160,decreased physical interaction,2
45,cancel culture,2
41,decolonisation,2
36,increased complexity,2
154,increased harmony,2
50,individualisation,2
159,space travel,2
37,environmental degradation,2
42,decreased collaboration,2
179,decreased energy sources,2
136,increased population density,2
70,autonomous driving,2
117,counterurbanisation,2
121,increased consumption,2
67,flying vehicles,2
115,changing habits of content consumption,2
104,machine learning,2
206,privacy concerns,2
118,anarchy,2
100,decentralised finance,2
102,new ways of collaboration,2
125,decreased labour force,2
66,electric vehicles,3
96,sustainable energy,3
95,decreased trust in governments,3
112,increased mental health,3
110,stagnating growth,3
166,alternative economic systems,3
129,increased inclusion,3
82,increased adoption and reliance on new technology,3
32,ineffective world leadership,3
140,big data,3
31,man-made disasters,3
126,flexible work,3
83,information technology,3
89,3d printed food,3
128,great resignation,3
13,innovation,3
76,entrenched worldviews,3
94,distribution of power to people,4
93,new habits of working,4
19,national identity,4
85,decentralisation,4
24,unequal distribution of power between rich and poor,4
120,renewable energy,4
114,pandemic,4
134,corruption,4
62,blurring of physical and virtual worlds,4
52,diversity,4
5,web3,4
127,food security,5
21,extreme weather,5
10,digital nomad,5
61,global talent crunch,5
60,NFTs,5
14,AR,5
86,nationalism,5
39,political ideologies,5
49,geopolitical tensions,5
6,communication technology,5
47,rising temperature,5
107,quantum computing,6
97,access to clean water,6
3,iot,6
80,pollution,6
20,shifting global powers,7
87,shifting political powers,7
135,urbanisation,7
72,globalisation,7
46,rising sea levels,7
81,automation,8
71,shifting economic powers,8
69,cryptocurrency,8
23,widening income gap,8
22,civil unrest,8
16,loss of biodiversity,8
56,decreased birthrate,9
8,digitalisation,9
30,natural disasters,9
27,inequality,11
9,remote work,12
7,metaverse,16
1,virtual reality,16
12,increased sustainability,18
17,global warming,20
57,blockchain,21
48,war,22
35,ageing population,23
4,polarised views,31
28,depleting resources,33
2,AI,38
0,climate change,72
